date,product_name,currency,price
20180719,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,BM,441.0
20190321,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,VI,917.23
20160116,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,DK,572.45
20171123,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,UG,578.61
20171108,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,MM,653.27
20130606,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,NE,667.68
20141204,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,ZW,731.04
20191209,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,GI,260.47
20151003,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,HR,198.05
20130120,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,IT,406.91
20171208,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,CN,703.48
20130822,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,CD,10.01
20150902,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,IL,587.11
20180701,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,AS,795.67
20180413,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,NI,518.44
20140117,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,HK,139.69
20130311,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,AX,602.5
20141007,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,UY,627.74
20171006,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,KR,475.4
20160604,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,GP,572.52
20150331,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,CV,129.56
20171005,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,GN,308.91
20170314,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,VG,251.86
20160629,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,UZ,331.11
20131028,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,CR,560.62
20141205,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,NU,577.11
20170417,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,GG,81.55
20150723,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,SI,242.7
20170315,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,KE,140.94
20190927,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,LV,239.88
20170220,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,EH,531.5
20130430,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,TF,163.95
20150602,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 010 Ivory,CO,306.32
